# jd_expl= 2453549.0
# missing data interp 1
# _filter= V
# ABtot= 0.156538593538
# 
2.624028378378889101e+02 1.955880403422573366e+01
2.634027837838354458e+02 1.956116998284966968e+01
2.644027297297819814e+02 1.956377698703327184e+01
2.654026756757285170e+02 1.956664863526140508e+01
2.664026216216750527e+02 1.956980366538984484e+01
2.674025675676215315e+02 1.957325670306805065e+01
2.684025135135680671e+02 1.957701860209514777e+01
2.694024594595146027e+02 1.958109620830787634e+01
2.704024054054611383e+02 1.958549151695474677e+01
2.714023513514076740e+02 1.959020036787132923e+01
2.724022972973541528e+02 1.959521102491914846e+01
2.734022432433006884e+02 1.960050316750252364e+01
2.744021891892472240e+02 1.960604787396857773e+01
2.754021351351937597e+02 1.961180898759577573e+01
2.764020810811402953e+02 1.961774582151657143e+01
2.774020270270868309e+02 1.962381665310568835e+01
2.784019729730333097e+02 1.962998215479932895e+01
2.794019189189798453e+02 1.963620798034030912e+01
2.804018648649263810e+02 1.964246610770935675e+01
2.814018108108729166e+02 1.964873499308908578e+01
2.824017567568194522e+02 1.965499889256513910e+01
2.834017027027659310e+02 1.966124678644205659e+01
2.844016486487124666e+02 1.966747125564799603e+01
2.854015945946590023e+02 1.967366751469730346e+01
2.864015405406055379e+02 1.967983267709562156e+01
2.874014864865520735e+02 1.968596524638758183e+01
2.884014324324985523e+02 1.969206478675833694e+01
2.894013783784450879e+02 1.969813171685265019e+01
2.904013243243916236e+02 1.970416717551817243e+01
2.914012702703381592e+02 1.971017291950764871e+01
2.924012162162846948e+02 1.971615122607424908e+01
2.934011621622311736e+02 1.972210478567838976e+01
2.944011081081777093e+02 1.972803658056626830e+01
2.954010540541242449e+02 1.973394975301333787e+01
2.964010000000707805e+02 1.973984747202343470e+01
